id,Level 1,Level 2,Level 3,Column Text,UOM,GHG,GHG Conversion Factor 2017,valid_from,valid_to
1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18416,2017-01-01 00:00:00,2017-12-31 23:59:59
2,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00026,2017-01-01 00:00:00,2017-12-31 23:59:59
3,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18381,2017-01-01 00:00:00,2017-12-31 23:59:59
4,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2017-01-01 00:00:00,2017-12-31 23:59:59
5,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh (Net CV),kg CO2e,0.20463,2017-01-01 00:00:00,2017-12-31 23:59:59
6,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh (Net CV),kg CH4,0.00029,2017-01-01 00:00:00,2017-12-31 23:59:59
7,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh (Net CV),kg CO2,0.20423,2017-01-01 00:00:00,2017-12-31 23:59:59
8,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh (Net CV),kg N2O,0.00011,2017-01-01 00:00:00,2017-12-31 23:59:59
9,Fuels,Gaseous fuels,CNG,Volume,litres,kg CO2e,0.49245,2017-01-01 00:00:00,2017-12-31 23:59:59
10,Fuels,Gaseous fuels,CNG,Volume,litres,kg CH4,0.00069,2017-01-01 00:00:00,2017-12-31 23:59:59
11,Fuels,Gaseous fuels,CNG,Volume,litres,kg CO2,0.4915,2017-01-01 00:00:00,2017-12-31 23:59:59
12,Fuels,Gaseous fuels,CNG,Volume,litres,kg N2O,0.00026,2017-01-01 00:00:00,2017-12-31 23:59:59
13,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,kg CO2e,2814.00779,2017-01-01 00:00:00,2017-12-31 23:59:59
14,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,kg CH4,3.96296,2017-01-01 00:00:00,2017-12-31 23:59:59
15,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,kg CO2,2808.56953,2017-01-01 00:00:00,2017-12-31 23:59:59
