id,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020,valid_from,valid_to
1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,CNG kWh (Gross CV),0.18387,2020-01-01 00:00:00,2020-12-31 23:59:59
2,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,CNG kWh (Gross CV),0.00025,2020-01-01 00:00:00,2020-12-31 23:59:59
3,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,CNG kWh (Gross CV),0.18352,2020-01-01 00:00:00,2020-12-31 23:59:59
4,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,CNG kWh (Gross CV),0.0001,2020-01-01 00:00:00,2020-12-31 23:59:59
5,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,CNG kWh (Net CV),0.20374,2020-01-01 00:00:00,2020-12-31 23:59:59
6,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,CNG kWh (Net CV),0.00027,2020-01-01 00:00:00,2020-12-31 23:59:59
7,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,CNG kWh (Net CV),0.20336,2020-01-01 00:00:00,2020-12-31 23:59:59
8,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,CNG kWh (Net CV),0.00011,2020-01-01 00:00:00,2020-12-31 23:59:59
9,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CO2e,CNG litres,0.44327,2020-01-01 00:00:00,2020-12-31 23:59:59
10,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CH4,CNG litres,0.00059,2020-01-01 00:00:00,2020-12-31 23:59:59
11,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CO2,CNG litres,0.44245,2020-01-01 00:00:00,2020-12-31 23:59:59
12,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg N2O,CNG litres,0.00023,2020-01-01 00:00:00,2020-12-31 23:59:59
13,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CO2e,CNG tonnes,2533,2020-01-01 00:00:00,2020-12-31 23:59:59
14,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CH4,CNG tonnes,3.4,2020-01-01 00:00:00,2020-12-31 23:59:59
15,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg CO2,CNG tonnes,2528.26,2020-01-01 00:00:00,2020-12-31 23:59:59
16,Fuels,Gaseous fuels,CNG,Tonnes,tonnes,tonnes,kg N2O,CNG tonnes,1.33,2020-01-01 00:00:00,2020-12-31 23:59:59
17,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LNG kWh (Gross CV),0.18455,2020-01-01 00:00:00,2020-12-31 23:59:59
18,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LNG kWh (Gross CV),0.00025,2020-01-01 00:00:00,2020-12-31 23:59:59
19,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LNG kWh (Gross CV),0.18421,2020-01-01 00:00:00,2020-12-31 23:59:59
20,Fuels,Gaseous fuels,LNG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LNG kWh (Gross CV),0.0001,2020-01-01 00:00:00,2020-12-31 23:59:59
21,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LNG kWh (Net CV),0.20449,2020-01-01 00:00:00,2020-12-31 23:59:59
22,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LNG kWh (Net CV),0.00027,2020-01-01 00:00:00,2020-12-31 23:59:59
23,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LNG kWh (Net CV),0.20411,2020-01-01 00:00:00,2020-12-31 23:59:59
24,Fuels,Gaseous fuels,LNG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LNG kWh (Net CV),0.00011,2020-01-01 00:00:00,2020-12-31 23:59:59
25,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CO2e,LNG litres,1.15041,2020-01-01 00:00:00,2020-12-31 23:59:59
26,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CH4,LNG litres,0.00154,2020-01-01 00:00:00,2020-12-31 23:59:59
27,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg CO2,LNG litres,1.14827,2020-01-01 00:00:00,2020-12-31 23:59:59
28,Fuels,Gaseous fuels,LNG,Volume,litres,litres,kg N2O,LNG litres,0.0006,2020-01-01 00:00:00,2020-12-31 23:59:59
29,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CO2e,LNG tonnes,2542.41,2020-01-01 00:00:00,2020-12-31 23:59:59
30,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CH4,LNG tonnes,3.4,2020-01-01 00:00:00,2020-12-31 23:59:59
31,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg CO2,LNG tonnes,2537.68,2020-01-01 00:00:00,2020-12-31 23:59:59
32,Fuels,Gaseous fuels,LNG,Tonnes,tonnes,tonnes,kg N2O,LNG tonnes,1.33,2020-01-01 00:00:00,2020-12-31 23:59:59
33,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LPG kWh (Gross CV),0.21448,2020-01-01 00:00:00,2020-12-31 23:59:59
34,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LPG kWh (Gross CV),0.00016,2020-01-01 00:00:00,2020-12-31 23:59:59
35,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LPG kWh (Gross CV),0.21419,2020-01-01 00:00:00,2020-12-31 23:59:59
36,Fuels,Gaseous fuels,LPG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LPG kWh (Gross CV),0.00014,2020-01-01 00:00:00,2020-12-31 23:59:59
37,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LPG kWh (Net CV),0.2303,2020-01-01 00:00:00,2020-12-31 23:59:59
38,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LPG kWh (Net CV),0.00017,2020-01-01 00:00:00,2020-12-31 23:59:59
39,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LPG kWh (Net CV),0.22999,2020-01-01 00:00:00,2020-12-31 23:59:59
40,Fuels,Gaseous fuels,LPG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LPG kWh (Net CV),0.00015,2020-01-01 00:00:00,2020-12-31 23:59:59
41,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CO2e,LPG litres,1.55537,2020-01-01 00:00:00,2020-12-31 23:59:59
42,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CH4,LPG litres,0.00113,2020-01-01 00:00:00,2020-12-31 23:59:59
43,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg CO2,LPG litres,1.55325,2020-01-01 00:00:00,2020-12-31 23:59:59
44,Fuels,Gaseous fuels,LPG,Volume,litres,litres,kg N2O,LPG litres,0.00099,2020-01-01 00:00:00,2020-12-31 23:59:59
45,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CO2e,LPG tonnes,2938.81,2020-01-01 00:00:00,2020-12-31 23:59:59
46,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CH4,LPG tonnes,2.14,2020-01-01 00:00:00,2020-12-31 23:59:59
47,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg CO2,LPG tonnes,2934.82,2020-01-01 00:00:00,2020-12-31 23:59:59
48,Fuels,Gaseous fuels,LPG,Tonnes,tonnes,tonnes,kg N2O,LPG tonnes,1.86,2020-01-01 00:00:00,2020-12-31 23:59:59
49,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Natural gas kWh (Gross CV),0.18387,2020-01-01 00:00:00,2020-12-31 23:59:59
50,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Natural gas kWh (Gross CV),0.00025,2020-01-01 00:00:00,2020-12-31 23:59:59
51,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Natural gas kWh (Gross CV),0.18352,2020-01-01 00:00:00,2020-12-31 23:59:59
52,Fuels,Gaseous fuels,Natural gas,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Natural gas kWh (Gross CV),0.0001,2020-01-01 00:00:00,2020-12-31 23:59:59
