id,Scope,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2021,valid_from,valid_to
0,Scope1,Fuels,Gaseous fuels,Butane,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Butane kWh (Gross CV),0.2224,2021-01-01 00:00:00,2021-12-31 23:59:59
1,Scope1,Fuels,Gaseous fuels,Butane,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Butane kWh (Gross CV),0.00017,2021-01-01 00:00:00,2021-12-31 23:59:59
2,Scope1,Fuels,Gaseous fuels,Butane,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Butane kWh (Gross CV),0.2221,2021-01-01 00:00:00,2021-12-31 23:59:59
3,Scope1,Fuels,Gaseous fuels,Butane,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Butane kWh (Gross CV),0.00013,2021-01-01 00:00:00,2021-12-31 23:59:59
4,Scope1,Fuels,Gaseous fuels,Butane,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Butane kWh (Net CV),0.24106,2021-01-01 00:00:00,2021-12-31 23:59:59
5,Scope1,Fuels,Gaseous fuels,Butane,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Butane kWh (Net CV),0.00018,2021-01-01 00:00:00,2021-12-31 23:59:59
6,Scope1,Fuels,Gaseous fuels,Butane,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Butane kWh (Net CV),0.24074,2021-01-01 00:00:00,2021-12-31 23:59:59
7,Scope1,Fuels,Gaseous fuels,Butane,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Butane kWh (Net CV),0.00014,2021-01-01 00:00:00,2021-12-31 23:59:59
8,Scope1,Fuels,Gaseous fuels,Butane,Volume,litres,litres,kg CO2e,Butane litres,1.74529,2021-01-01 00:00:00,2021-12-31 23:59:59
9,Scope1,Fuels,Gaseous fuels,Butane,Volume,litres,litres,kg CH4,Butane litres,0.00129,2021-01-01 00:00:00,2021-12-31 23:59:59
10,Scope1,Fuels,Gaseous fuels,Butane,Volume,litres,litres,kg CO2,Butane litres,1.74296,2021-01-01 00:00:00,2021-12-31 23:59:59
11,Scope1,Fuels,Gaseous fuels,Butane,Volume,litres,litres,kg N2O,Butane litres,0.00104,2021-01-01 00:00:00,2021-12-31 23:59:59
12,Scope1,Fuels,Gaseous fuels,Butane,Tonnes,tonnes,tonnes,kg CO2e,Butane tonnes,3033.32,2021-01-01 00:00:00,2021-12-31 23:59:59
13,Scope1,Fuels,Gaseous fuels,Butane,Tonnes,tonnes,tonnes,kg CH4,Butane tonnes,2.25,2021-01-01 00:00:00,2021-12-31 23:59:59
14,Scope1,Fuels,Gaseous fuels,Butane,Tonnes,tonnes,tonnes,kg CO2,Butane tonnes,3029.26,2021-01-01 00:00:00,2021-12-31 23:59:59
15,Scope1,Fuels,Gaseous fuels,Butane,Tonnes,tonnes,tonnes,kg N2O,Butane tonnes,1.8,2021-01-01 00:00:00,2021-12-31 23:59:59
16,Scope1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,CNG kWh (Gross CV),0.18316,2021-01-01 00:00:00,2021-12-31 23:59:59
17,Scope1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,CNG kWh (Gross CV),0.00025,2021-01-01 00:00:00,2021-12-31 23:59:59
18,Scope1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,CNG kWh (Gross CV),0.18282,2021-01-01 00:00:00,2021-12-31 23:59:59
19,Scope1,Fuels,Gaseous fuels,CNG,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,CNG kWh (Gross CV),0.0001,2021-01-01 00:00:00,2021-12-31 23:59:59
20,Scope1,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,CNG kWh (Net CV),0.20297,2021-01-01 00:00:00,2021-12-31 23:59:59
21,Scope1,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CH4,CNG kWh (Net CV),0.00028,2021-01-01 00:00:00,2021-12-31 23:59:59
22,Scope1,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg CO2,CNG kWh (Net CV),0.20258,2021-01-01 00:00:00,2021-12-31 23:59:59
23,Scope1,Fuels,Gaseous fuels,CNG,Energy - Net CV,kWh,kWh (Net CV),kg N2O,CNG kWh (Net CV),0.00011,2021-01-01 00:00:00,2021-12-31 23:59:59
24,Scope1,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CO2e,CNG litres,0.44423,2021-01-01 00:00:00,2021-12-31 23:59:59
25,Scope1,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CH4,CNG litres,0.0006,2021-01-01 00:00:00,2021-12-31 23:59:59
26,Scope1,Fuels,Gaseous fuels,CNG,Volume,litres,litres,kg CO2,CNG litres,0.4434,2021-01-01 00:00:00,2021-12-31 23:59:59
