id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2014,valid_from,valid_to
2014_1,Fuels,Solid,Coal,short ton,short ton,mmbtu,Anthracite Coal,25.09,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_2,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Anthracite Coal,103.69,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_3,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Anthracite Coal,11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_4,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Anthracite Coal,1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_5,Fuels,Solid,Coal,short ton,short ton,kg CO2,Anthracite Coal,2602,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_6,Fuels,Solid,Coal,short ton,short ton,g CH4,Anthracite Coal,276,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_7,Fuels,Solid,Coal,short ton,short ton,g N2O,Anthracite Coal,40,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_8,Fuels,Solid,Coal,short ton,short ton,mmbtu,Bituminous Coal,24.93,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_9,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Bituminous Coal,93.28,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_10,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Bituminous Coal,11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_11,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Bituminous Coal,1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_12,Fuels,Solid,Coal,short ton,short ton,kg CO2,Bituminous Coal,2325,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_13,Fuels,Solid,Coal,short ton,short ton,g CH4,Bituminous Coal,274,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_14,Fuels,Solid,Coal,short ton,short ton,g N2O,Bituminous Coal,40,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_15,Fuels,Solid,Coal,short ton,short ton,mmbtu,Sub-bituminous Coal,17.25,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_16,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Sub-bituminous Coal,97.17,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_17,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Sub-bituminous Coal,11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_18,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Sub-bituminous Coal,1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_19,Fuels,Solid,Coal,short ton,short ton,kg CO2,Sub-bituminous Coal,1676,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_20,Fuels,Solid,Coal,short ton,short ton,g CH4,Sub-bituminous Coal,190,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_21,Fuels,Solid,Coal,short ton,short ton,g N2O,Sub-bituminous Coal,28,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_22,Fuels,Solid,Coal,short ton,short ton,mmbtu,Lignite Coal,14.21,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_23,Fuels,Solid,Coal,mmbtu,mmbtu,kg CO2,Lignite Coal,97.72,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_24,Fuels,Solid,Coal,mmbtu,mmbtu,g CH4,Lignite Coal,11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_25,Fuels,Solid,Coal,mmbtu,mmbtu,g N2O,Lignite Coal,1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_26,Fuels,Solid,Coal,short ton,short ton,kg CO2,Lignite Coal,1389,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_27,Fuels,Solid,Coal,short ton,short ton,g CH4,Lignite Coal,156,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_28,Fuels,Solid,Coal,short ton,short ton,g N2O,Lignite Coal,23,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_29,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Commercial Sector),21.39,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_30,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Commercial Sector),94.27,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_31,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Commercial Sector),11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_32,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Commercial Sector),1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_33,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Commercial Sector),2016,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_34,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Commercial Sector),235,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_35,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Commercial Sector),34,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_36,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Electric Power Sector),19.73,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_37,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Electric Power Sector),95.52,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_38,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Electric Power Sector),11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_39,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Electric Power Sector),1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_40,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Electric Power Sector),1885,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_41,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Electric Power Sector),217,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_42,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Electric Power Sector),32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_43,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Industrial Coking),26.28,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_44,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Industrial Coking),93.9,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_45,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Industrial Coking),11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_46,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Industrial Coking),1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_47,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Industrial Coking),2468,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_48,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Industrial Coking),289,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_49,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Industrial Coking),42,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_50,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Industrial Sector),22.35,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_51,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Industrial Sector),94.67,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_52,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Industrial Sector),11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_53,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Industrial Sector),1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_54,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Industrial Sector),2116,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_55,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Industrial Sector),246,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_56,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Industrial Sector),36,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_57,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Coal Coke,24.8,2014-01-01 00:00:00,2014-12-31 23:59:59
